name,age,salary
Michael Richardson,38,85172
Ryan Perez,54,52709
Jason Hill,50,107137
Michael Campbell,36,46910
Daniel Stewart,56,30085
Betty Roberts,34,58370
Cynthia Cruz,60,33317
George Cruz,22,51209
Patricia Thomas,39,114424
Ashley Jackson,45,30494
Andrew Torres,30,102312
Richard Nguyen,38,57943
Shirley Nguyen,48,30317
John Myers,40,49605
Justin Martinez,25,57712
Matthew Kim,23,72066
Angela Evans,35,129111
Rebecca Campbell,42,92949
Emma Stewart,35,117230
Rebecca Price,25,66624
Angela Rogers,38,73183
Timothy Baker,42,64757
Debra Garcia,38,90419
Brenda Watson,46,79719
William Thomas,54,36302
Janet Martinez,43,102217
Christine Watson,36,47115
Rebecca Gonzalez,56,91885
Alexander Clark,61,31729
Donna Hughes,64,86323
Michael Rogers,34,115333
Nancy Gomez,54,126275
Linda Nelson,53,128568
David Garcia,50,84365
Amanda King,43,79518
Kimberly Brown,62,129991
Barbara Brown,61,124524
Frank Anderson,61,98106
Anthony Brown,48,93545
Catherine Smith,48,39752
Joshua James,53,122248
Kevin Thompson,34,92347
Kevin Turner,65,30004
Sharon James,52,127321
Kenneth Nguyen,62,115433
John Rodriguez,56,137497
Patrick Roberts,26,98861
Kimberly Ramos,28,36144
Anna Nguyen,38,142809
Richard Johnson,37,124669
Debra Bailey,43,34264
Linda Sanders,44,145122
Kimberly Cook,58,108187
Frank Morgan,46,34737
Paul King,35,50400
Dennis Reed,61,130260
Emily Parker,29,108286
Cynthia Ruiz,31,88872
Susan Young,62,136179
Laura Murphy,37,134754
James Clark,28,113310
Richard Rivera,55,40563
Dorothy Garcia,62,145073
Jonathan Lee,62,143616
Kimberly Alvarez,38,86455
Sharon Walker,53,52021
Jonathan Scott,60,102273
Barbara Sanders,58,44035
Brian Martinez,35,35334
Justin Roberts,32,106342
Barbara Anderson,38,106371
Sharon Hill,58,87199
Matthew Flores,46,123993
Kevin Peterson,55,138257
Laura Taylor,23,95285
Anthony Nelson,35,126333
Michelle Ortiz,26,145028
Jason Clark,54,140232
Larry Davis,60,146526
Anthony Ruiz,23,31833
Kenneth Martinez,26,60316
Joseph Collins,27,127938
Carol Anderson,47,84941
Ashley Rogers,26,107179
Dennis Morales,25,97441
Justin Ramirez,32,73668
Jason Scott,37,31769
Brandon Carter,59,98513
Charles Torres,32,74228
Samuel Clark,40,119354
George Rivera,53,67269
Joshua Hall,43,89115
Paul Patel,47,35055
Jessica Parker,22,65507
Angela Harris,55,39568
Daniel Evans,43,33031
Karen Garcia,30,131609
Alexander Nguyen,51,98737
Mark Evans,54,91230
Karen Walker,47,62123
Karen Wright,49,64107
Paul Patel,24,48671
Donald Gomez,44,62413
Frank Brooks,49,113993
Anthony Taylor,25,100216
Nancy Alvarez,37,92492
Thomas Martinez,46,115341
Ryan Carter,57,67804
Emma Reed,32,134642
Carol Mendoza,53,110349
Janet Jones,28,125152
Linda Rodriguez,47,132039
Donald Hughes,42,61213
Linda Kelly,56,62816
Dennis Price,65,73039
Mary Wilson,31,48236
Paul Howard,25,49101
Katherine Mendoza,38,112916
Lisa Walker,52,128596
Carol Phillips,61,53582
Stephanie Gray,55,78941
Edward Kim,53,49403
John Bailey,63,148299
Timothy Sanders,39,140349
Dorothy Brown,37,43546
Timothy Reyes,39,94103
Catherine Walker,27,144882
Shirley Sanchez,44,42318
Nancy Mendoza,47,57551
Paul Cooper,41,134092
Angela Morris,65,111124
Ashley Cruz,61,144773
Kathleen Jones,35,95648
Sharon James,27,46981
Sarah Rodriguez,34,129510
Michael Cox,38,104019
Jason Brown,55,110191
Lisa Ramirez,47,54334
Jason Martin,60,85625
Samantha Ortiz,55,73006
Michael Rogers,53,34761
Michelle Chavez,60,76164
Margaret Perez,46,126063
Kevin Hall,49,46490
Dorothy Allen,45,134791
Carol Clark,59,38885
Patricia Bailey,65,38126
Kevin Rodriguez,65,144230
Larry Lee,41,130178
Gary Diaz,37,134119
Pamela Young,30,128405
Kenneth Reyes,50,103122
Benjamin Castillo,51,85858
Raymond Lee,48,71895
Sharon Morris,41,118972
Daniel Jones,24,77685
Rachel Robinson,47,47063
Lisa Alvarez,43,139890
Joseph Peterson,32,79234
Nicole Brown,41,144007
Scott Jackson,36,126154
Cynthia Cox,41,45144
Linda Campbell,33,32984
Carolyn Smith,41,44988
Anna Nguyen,58,138495
Richard Cook,57,47555
Charles Sanchez,65,118013
Joseph Roberts,45,43573
Michelle Clark,42,123346
Edward Reyes,51,32260
Kevin Alvarez,27,126133
Margaret Cox,28,104297
Anthony Richardson,45,90986
Michael Hughes,27,66902
Jennifer Morgan,50,41186
James Carter,49,33117
Margaret Reyes,52,112365
Jason Murphy,27,115133
Joshua Lee,24,72147
Deborah Thompson,65,123429
Kevin Nguyen,58,97863
Samuel Garcia,45,50236
George Phillips,33,38683
Richard Brown,26,40155
Christopher Flores,63,130490
Donald Bennett,25,33603
Betty Thompson,26,90758
John Perez,49,132500
Patricia Ramirez,25,33412
Frank Scott,46,30406
Jessica Collins,43,67658
Mark Patel,50,140673
Jennifer Adams,65,116277
Scott Cox,42,88314
Michael Cook,59,99495
William Morales,27,106697
Paul Garcia,50,111172
Steven Moore,30,58394
Paul Mitchell,46,63067
Amanda Allen,65,58462
Brandon Hall,55,97990
Melissa Taylor,23,40453
Pamela Edwards,53,48131
Larry Lewis,25,139150
Sandra Gray,60,109480
Brenda Cox,34,84797
Emma Watson,25,118688
George Rivera,33,49835
Barbara Young,53,68706
Benjamin Chavez,24,117478
James Thomas,24,82023
Amy Turner,36,74750
Dennis Murphy,46,92109
Nicole Thompson,45,84347
Katherine Nelson,34,40934
Emily Price,40,38028
Mark Sanders,52,32004
Ryan Walker,26,36275
Jonathan Hernandez,53,132994
Larry Harris,26,130856
Gary Nelson,52,126494
Michelle Murphy,59,78271
Andrew Alvarez,28,117648
Pamela Bailey,64,133886
William Williams,36,61883
Ashley Thomas,36,135452
Donna Cruz,33,38399
Linda Lee,46,44584
Rebecca Rodriguez,39,116818
Ronald Smith,44,147751
Scott Turner,50,82898
Rebecca Baker,30,117174
Susan Bennett,49,111616
Paul Thompson,64,147050
Patricia Torres,47,83835
Edward Williams,36,83233
Elizabeth Flores,34,91058
Lisa Murphy,53,139843
Dennis Gray,40,78407
Nicole Collins,58,79277
Alexander Smith,62,45232
Rachel Turner,49,77759
Angela Scott,33,44015
Carolyn Lewis,51,39042
Jacob Wood,31,145078
Samantha Garcia,43,116738
Christine Collins,51,43713
Pamela Price,28,56240
Benjamin Murphy,57,129847
George Bennett,49,112058
John Phillips,38,146540
Nancy Kelly,37,35038
Joseph Morris,29,126569
Raymond Baker,30,126736
Donna Edwards,62,135689
David Chavez,57,61403
Jeffrey Myers,30,35034
Shirley Hughes,50,140163
Joshua Ramos,33,32720
David Castillo,28,136351
Timothy Taylor,50,121228
Benjamin Clark,48,120019
Gary Howard,48,88422
Ryan Peterson,27,141818
Scott Parker,37,82299
James Anderson,31,53789
Nicholas Hall,62,41633
Jeffrey Mendoza,49,148112
Brenda Kim,52,82137
Emma Sanders,60,80816
Joseph Edwards,42,141912
Gary Green,40,105071
Charles Walker,41,130407
Christopher Castillo,33,121009
William Perez,37,110459
Jason Williams,60,65054
Benjamin Allen,31,63628
James Brooks,52,47354
Nancy James,64,120978
Brenda Morris,43,53484
Christopher Campbell,24,63446
Karen Scott,36,92149
Christine Gomez,29,62080
Elizabeth Martin,33,71402
Sandra Anderson,41,118024
Jacob Flores,37,106672
Raymond Green,44,128664
John Cox,22,140739
Jack Jackson,24,63168
Sandra Thomas,31,104054
Ashley Parker,58,75628
Karen Ward,33,73918
Patrick Wilson,49,34724
William Collins,35,126776
Nicole Myers,31,105655
Justin Jones,34,62518
Michelle Wright,28,59813
Steven Bennett,46,43159
Rachel Evans,26,117804
George Jones,53,119531
Jessica Gutierrez,42,65675
Cynthia Mendoza,40,82047
Paul Hall,59,54033
Barbara Davis,23,127258
Betty Price,65,46795
Kimberly Nguyen,40,69395
Margaret Harris,55,67532
Frank Robinson,57,110939
Laura Perez,29,102740
Sandra Clark,38,88066
Jeffrey Patel,33,35177
Helen Allen,59,47007
Nicole Flores,57,87291
Benjamin Sanchez,56,99020
Katherine Davis,62,45813
Emma Ortiz,64,79482
Scott Harris,54,129647
Samuel Turner,50,114946
Emily Nguyen,59,31685
Sandra Thompson,62,147472
Laura Young,56,91941
Ronald Campbell,53,48058
Alexander Martinez,26,33490
Mary Cruz,53,112341
Benjamin Smith,48,149057
Catherine Baker,29,120106
Nicole Clark,40,66711
Kathleen Thompson,38,56043
Kathleen Reed,36,120194
James Walker,62,101727
Thomas Martinez,50,48537
Robert Mitchell,33,55973
Betty Nguyen,41,87528
Scott Hernandez,48,106565
Kevin Morris,33,37644
Susan Watson,38,82316
Brandon Rogers,39,124650
Jeffrey Ramos,64,68166
Timothy Sanders,43,140098
George Reed,35,141515
Carol Young,60,104906
Kevin Hill,48,148992
Christine Scott,61,118304
Brenda Phillips,25,109066
Joseph Chavez,40,124549
Sharon Wood,48,99216
Nancy Diaz,31,134722
Stephen Allen,43,87250
Amy Mendoza,64,134129
Paul Peterson,34,146491
Debra Peterson,47,128848
Patrick Torres,59,32492
Katherine Perez,64,149833
Christopher Rodriguez,59,112541
Michelle Hughes,44,148887
Jeffrey Rivera,24,96403
Rebecca Mendoza,50,139003
Thomas King,41,112605
Karen Kelly,32,105728
Sarah Evans,59,69911
Barbara Taylor,65,141444
Andrew Price,29,84578
Emily Taylor,39,77576
Betty Hughes,65,124352
Christine Martinez,27,126854
Michelle Morgan,65,99417
Cynthia Myers,50,84533
Paul Ruiz,58,85993
Anna Flores,30,84009
Rachel Robinson,56,132221
